symbol,earnings_date,snapshot,snapshot_date,option_ticker,expiration,strike,type
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00340000,2026-03-20,340.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00340000,2026-03-20,340.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00350000,2026-03-20,350.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00350000,2026-03-20,350.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00360000,2026-03-20,360.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00360000,2026-03-20,360.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00370000,2026-03-20,370.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00370000,2026-03-20,370.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00380000,2026-03-20,380.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00380000,2026-03-20,380.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00390000,2026-03-20,390.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00390000,2026-03-20,390.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00400000,2026-03-20,400.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00400000,2026-03-20,400.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00405000,2026-03-20,405.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00405000,2026-03-20,405.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00410000,2026-03-20,410.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00410000,2026-03-20,410.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00415000,2026-03-20,415.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00415000,2026-03-20,415.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00420000,2026-03-20,420.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00420000,2026-03-20,420.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00425000,2026-03-20,425.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00425000,2026-03-20,425.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00430000,2026-03-20,430.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00430000,2026-03-20,430.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00435000,2026-03-20,435.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00435000,2026-03-20,435.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00440000,2026-03-20,440.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00440000,2026-03-20,440.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00445000,2026-03-20,445.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00445000,2026-03-20,445.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00450000,2026-03-20,450.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00450000,2026-03-20,450.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00455000,2026-03-20,455.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00455000,2026-03-20,455.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00460000,2026-03-20,460.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00460000,2026-03-20,460.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00465000,2026-03-20,465.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00465000,2026-03-20,465.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00470000,2026-03-20,470.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00470000,2026-03-20,470.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00475000,2026-03-20,475.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00475000,2026-03-20,475.0,put
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320C00480000,2026-03-20,480.0,call
MSFT,2026-01-28 16:00:00-05:00,post,2026-01-29,O:MSFT260320P00480000,2026-03-20,480.0,put
